Signature_name	Gene_list
D20.C.ta.c1	5330417C22RIK,AGR2,C1GALT1,CA8,CHN2,CHRM3,CREB3L1,EHF,ERN2,FAM3D,FUT8,GALNT10,GALNT7,GCC2,GFPT1,GMDS,GNE,HEPACAM2,ICA1,KCNMA1,KLF12,MCTP1,MGAT5,NIPAL2,PDXDC1,PDZRN3,PLCB1,PLCB4,PTPRN2,PTPRT,RAPGEF5,RRBP1,SIDT1,SLC12A8,SPDEF,ST3GAL3,SYBU,SYTL2,TNFAIP8,TOX,TSC22D1,ZDHHC14
D20.C.ta.c2	ABCB1A,ADK,AKR1C19,ATP2B1,ATRNL1,CAR1,CHD9,CORO2A,DPYD,ERBIN,FA2H,FAM162A,FKBP5,HMGCS2,HSD3B3,MAOA,MGAT4C,MIER1,MYO1D,NR1H4,NR3C2,PAPSS2,PBX1,PCSK5,PDE3A,PPARA,PPARG,PRKCA,PROM1,PTPRD,RBM47,SELENBP1,SLC35D1,SLC8A1,UGDH,VDR
D20.C.ta.c3	5330417C22RIK,ATP2A3,ATRNL1,BAIAP2L1,BCAS1,CLCA1,FCGBP,FER1L6,FUT8,GALNT10,GALNT7,HEPACAM2,HSD11B2,INPP4B,IQGAP2,KCNMA1,MGAT5,MYO5C,NR3C2,PDE4D,PLCB1,PTPRN2,RAB27B,REP15,SCIN,SIDT1,SLC4A7,SRGAP1,ST6GAL1,SVAL1,SYTL2,TNFAIP8,TSC22D1
D20.C.ta.c4	5330417C22RIK,ABCB1A,ADK,AKAP13,ATP8B1,ATRNL1,FAM3D,FKBP5,FUT8,GALNT7,GFPT1,GMDS,HMGCS2,HSD3B3,KCNMA1,LUC7L2,MAGI1,MGAT5,NR3C2,PDXDC1,PIP5K1B,PRKCA,PTPRD,TNFAIP8,TOX
D20.C.ta.c5	ACTB,ACTG1,AHNAK,ALDH2,ANO1,ATP1A1,ATP1B1,B3GNT7,CAR2,CDH1,CKMT1,COX8A,EEF1A1,ESRRG,FTH1,FTL1,HAO2,HINT1,KRT19,KRT8,LYPD8,NME7,NRG1,PIGR,PRDX6,S100A6,SCD2,SLC26A2,SLC5A8,SLC6A14,SYCN,TGM3,TGOLN2,TSPAN1,WDR89
D20.C.ta.c6	5330417C22RIK,FAM3D,FUT8,GALNT7,GMDS,GOLPH3L,KCNMA1,NFIA,PDE4D,PDXDC1,PTPRK,SLC12A2,SLC12A8,ST3GAL6,SVAL1,TNFAIP8,TOX
D20.C.ta.c7	ACTB,ACTG1,ALDOA,ATP1A1,ATP1B1,ATP5F1A,ATP5F1B,BSG,CAR1,CEACAM1,CHD9,CLDN7,COX6A1,COX8A,EEF1A1,EEF2,EPCAM,FTL1,GUCA2A,HSPA8,KRT19,KRT8,LGALS3,LGALS4,LYPD8,MUC13,NKAIN2,PIGR,PRDX6,PSAP,S100A6,SLC25A5,SLC26A2,TGOLN2,TMSB4X,TSPAN1,WDR89,ZG16
D20.C.tuft.na	CHN2,DCLK1,DGKI,FYB1,HCK,HPGDS,IL13RA1,INPP5D,ITPR2,LRMP,MAP2,MYO1B,NAV2,NEBL,PLCG2,POU2F3,PPP3CA,PSTPIP2,RGS13,RUNX1,SLC9A9,ST18,STRIP2,TANC2
D20.C.vascular.na	ARHGAP31,CALCRL,DNM3,EBF1,ELN,FGD5,FLT1,HEG1,LDB2,LRRC8C,PREX2,PRKCH,PTPRB,PTPRM
J20.immune.b_cell.follicular	ADAM28,AFF3,BANK1,BCL11A,CD19,CD22,CD37,CD52,CD72,CD74,CD79B,CD83,CXCR4,DRAM2,FCER2,FCMR,FCRL1,HVCN1,IGHM,IL4R,IRF8,LAPTM5,LIMD2,LTB,MEF2C,MS4A1,NCF1,NIBAN3,RCSD1,RNASE6,SELL,SNX2,STX7,SWAP70,TCL1A,TNFRSF13C,TSPAN13,VPREB3,YBX3
J20.immune.b_cell.iga_plasma	ALG5,ANKRD28,CCPG1,CCR10,CD27,CD63,CHPF,CLIC4,CREB3L2,CRELD2,DDOST,DERL3,DNAJB9,DNAJC3,EAF2,ERGIC3,ERLEC1,FCRL5,FKBP2,FNDC3B,GMPPB,GNG7,GSTP1,HDLBP,HERPUD1,HM13,HSP90B1,HSPB1,ITM2C,JCHAIN,KDELR1,KDELR2,LGALS1,LMAN1,LMAN2,MANF,MYDGF,MZB1,NME1,NUCB2,P4HB,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,PYCR1,RABAC1,RASGRP3,RPN1,RPN2,RRBP1,SDC1,SDF2L1,SEC11C,SEC61B,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS1,SPCS2,SPCS3,SSR3,SSR4,TIMP1,TMED10,TMED9,TMEM205,TMEM208,TNFRSF17,TPD52,TRIB1,TXNDC11,TXNDC15,UAP1,UBE2J1,WNT10A,XBP1
J20.immune.b_cell.igg_plasma	ALG5,BHLHE41,CCPG1,CCR10,CD27,CD38,CHPF,CREB3L2,CRELD2,DERL3,DNAJC3,EAF2,ERLEC1,FBXW7,FCRL5,FKBP2,FNDC3A,FNDC3B,HDLBP,HM13,HSP90B1,IGHG1,ITGB7,ITM2C,JCHAIN,KDELR2,LMAN1,MANF,MYDGF,MZB1,NME1,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,RRBP1,SDC1,SDF2L1,SEC11C,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS3,SSR3,TNFRSF17,TOR3A,TRIB1,TXNDC11,TXNDC15,UBE2J1,XBP1
J20.immune.b_cell.memory	ADAM28,AIM2,ARHGAP24,BANK1,BCL11A,BLK,CD19,CD22,CD24,CD37,CD74,CD79B,CD83,CXCR5,DRAM2,EZR,FCRLA,IRF8,LAPTM5,LTB,LY86,LY9,MARCKSL1,MEF2C,MS4A1,P2RX5,PDLIM1,PKIG,POU2F2,REL,RGS2,SMARCB1,SMIM14,SPIB,SWAP70,SYPL1,TCF4,TNFRSF13B,TNFRSF13C,VPREB3
J20.immune.dc.cdc1	AIF1,AP2S1,ARPC1B,ASAP1,ASB2,ATG3,BASP1,BATF3,BID,CADM1,CCND1,CD74,CLEC7A,CLEC9A,CLNK,COTL1,CPNE3,CPVL,CSF2RA,CST3,CSTB,CTSZ,CXCL16,CYB5R3,DNASE1L3,FAM49B,FCGRT,FGL2,GRN,GSTP1,H2AFY,HCK,ID2,IDO1,IRF8,KCNK6,LGALS1,LGALS2,LSM6,LSP1,LYZ2,MS4A6A,NAP1L1,NET1,PAK1,PGLS,PLEK,PLEKHO1,PPT1,PSAP,PSMB9,PTMS,PTPRE,PYCARD,RAB32,RAB7B,RAC1,RGCC,RGS10,RNASE6,RNASET2,S100A11,S100B,SAT1,SERPINF2,SGK1,SHTN1,SMCO4,SNX3,SPI1,SPINT2,TYMP,UCP2
J20.immune.dc.cdc2	AIF1,ALDH2,ANXA5,AP2S1,ARPC1B,ARPC3,ARPC5,BID,CCDC88A,CD68,CD74,CD86,CEBPD,CFP,CLEC10A,CLEC4A,CLEC7A,COTL1,CPVL,CSF2RA,CST3,CTSH,CTSZ,CXCL16,DNASE1L3,EFHD2,ETS2,FAM110A,FCER1A,FCER1G,FCGRT,FGL2,GCA,GDI2,GPAT3,GRN,GSN,GSTP1,H2AFY,HCK,IFI30,IGSF6,IL1B,ITGB2,JAML,KLF4,LCP1,LGALS2,LGALS9,LITAF,LSP1,LST1,LYZ2,MS4A6A,NPC2,PAK1,PKIB,PLBD1,PLD4,PLSCR1,PTMS,PTPRE,PYCARD,RAC1,RGS10,RHOG,RNASE6,RNASET2,S100A11,SAMHD1,SLC8A1,SMCO4,SPI1,SPINT2,TMEM14C,TYMP,TYROBP,VAMP8
J20.immune.dc.cycling	AIF1,ANXA2,ANXA5,AP2S1,APLP2,ARPC5,C1QA,C1QB,C1QC,CAPG,CCDC88A,CD14,CD68,CD74,CKS1B,CLEC10A,CLEC7A,CLTA,COTL1,CPVL,CST3,CSTA,CTSB,CTSC,CTSH,CTSS,CTSZ,CYBB,DBI,DEK,FCER1G,FCGRT,FGL2,GGH,GLUL,GNAI2,GNG5,GRN,GSN,H2AFV,H2AFY,H2AFZ,HMGB1,HMGB2,HMGN2,IGSF6,ITGB2,JAML,LGALS1,LST1,LYZ2,MAFB,MARCKS,MKI67,MNDA,MS4A6A,MS4A7,NPC2,PKM,PPIA,PPT1,PSAP,PTMS,PYCARD,RAB31,RAC1,RBX1,RHOA,RNASE6,S100A11,SAMHD1,SLC25A5,SMC4,SPI1,STMN1,TGFBI,TUBA1B,TUBB5,TYMP,TYROBP,VAMP8,VSIG4,YWHAH
J20.immune.dc.lymphoid	BIRC3,CTSH,FAM49A,GABARAPL2,GSN,GSTP1,LAMP3,MARCKSL1,PTPN1,RAB9A,TYMP,TYROBP
J20.immune.dc.pdc	ALOX5AP,APP,CD74,CLIC3,CNPY3,CORO1C,CST3,CTSB,GPR183,GRN,GZMB,IRF7,IRF8,ITM2C,JAML,NPC2,PLAC8,PLD4,PLP2,PPP1R14B,PTCRA,RNASE6,RNASET2,SEC61B,SERPINF1,SMPD3,SPIB,TCF4,TGFBI,THEMIS2
J20.immune.ilc.na	ABHD15,AFF3,AREG,CAR2,CAT,CD7,CD96,CHKA,CTNNB1,CTSD,DEK,DOCK5,DONSON,DUSP2,EGR1,FCER1G,FES,FKBP5,H2AFY,ICAM1,ID2,IGFBP4,IL18R1,IL1R1,IL23R,IL4I1,IL7R,IRF1,ITGB1,JAML,KIT,KLF4,KLRB1,KRT86,LST1,MAFF,MAP3K8,MPV17L,NCOA7,NFKBID,NR4A1,PCDH9,PRR5,RIPK2,S100A13,SEC11A,SERTAD1,SPINK2,SPRY1,SSBP2,TIPARP,TLE1,TNFAIP3,TNFRSF18,TNFRSF25,TNFRSF4,TNFSF11,TNFSF13B,TYROBP,XCL1,ZBTB16,ZFAND5,ZFP36L1
J20.immune.macrophage.lyve1	AIF1,ANXA2,ANXA5,AP2S1,APLP2,ARPC3,ARPC5,ARRB2,ATP6V0C,BLVRB,C1QA,C1QB,C1QC,C3AR1,C5AR1,CD14,CD163,CD63,CD68,CD74,CEBPD,CLEC10A,COMT,CPVL,CSF1R,CST3,CTSB,CTSS,CTSZ,CYBB,EMP3,FCER1G,FCGR2A,FCGR3A,FCGRT,FGL2,FOLR2,GABARAP,GLUL,GNG5,GRN,GSN,H2AFY,IFITM3,ITGB2,LAP3,LST1,LYVE1,LYZ2,MAFB,MFSD1,MRC1,MS4A4A,MS4A6A,MS4A7,NPC2,PSAP,PYCARD,RAB31,RAC1,RBPJ,RHOA,RNASE1,S100A10,S100A11,S100A4,S100A6,SAMHD1,SH3BGRL3,SPI1,STAB1,TGFBI,TIMP1,TSPO,TYMP,TYROBP,VAMP8,VSIG4,ZYX
J20.immune.macrophage.na	AIF1,ANXA2,ANXA5,AP2S1,APLP2,ASAH1,BRI3,C1QA,C1QB,C1QC,CD14,CD163,CD302,CD63,CD68,CD74,CEBPD,CLEC10A,CLEC7A,COTL1,CPVL,CSF1R,CST3,CSTA,CTSB,CTSC,CTSD,CTSH,CTSS,CTSZ,CXCL16,CYBB,DAB2,ETS2,FCER1G,FCGR2A,FCGRT,FGL2,GLUL,GNAI2,GRN,GSN,H2AFY,HCK,IER3,IFI30,IGSF6,IL1B,ITGB2,KLF4,LGALS1,LGALS3,LST1,LYZ2,MAFB,MARCKS,MFSD1,MRC1,MS4A4A,MS4A6A,MS4A7,NAMPT,NPC2,PLAUR,PLEK,PSAP,PTPRE,PYCARD,RAB31,RAC1,S100A11,SAMHD1,SAT1,SGK1,SOD2,SPI1,STAB1,TGFBI,TYMP,TYROBP,VAMP8,VSIG4,ZEB2
J20.immune.mast.na	ALOX5AP,CD63,CD9,CLU,CPA3,FCER1G,GLUL,HPGDS,IL1RL1,KIT,LAPTM4A,LTC4S,MS4A2,S100A6,TPSAB1,TPSB2
J20.immune.monocyte.na	ACSL1,AIF1,ANXA2,ANXA5,AP2S1,APLP2,AQP9,ARPC5,ASAH1,BCL2A1,BRI3,C5AR1,CD14,CD163,CD300E,CD68,CEBPD,CFP,CLEC4E,CLEC7A,COTL1,CST3,CSTA,CTSB,CTSS,CYBB,EREG,ETS2,FCER1G,FCGR2A,FCGRT,FCNA,FGR,FPR1,GLIPR2,GRN,H2AFY,IFITM3,IL1B,IRAK3,KLF4,LGALS1,LILRA5,LILRB2,LST1,LYZ2,MAFB,MNDA,MS4A6A,MS4A7,NAMPT,NOP10,NPC2,PLAUR,PLSCR1,PSAP,PTPRE,RAB31,RAC1,S100A10,S100A11,S100A4,S100A6,S100A8,S100A9,SAT1,SDCBP,SERPINA1,SERPINB1A,SH3BGRL3,SLC11A1,SLC7A7,SOD2,SPI1,STXBP2,THBS1,TIMP1,TKT,TSPO,TYMP,TYROBP,VCAN,ZEB2
J20.immune.nk_cell.na	ADGRE5,ALOX5AP,AOAH,APMAP,AREG,B3GNT7,BIN2,CCL3,CCL4,CCL5,CD160,CD247,CD7,CDC42SE1,CEBPD,CFLAR,CHST12,CLDND1,CLIC3,CMC1,CST7,CTSD,CTSW,DUSP10,DUSP2,EOMES,ETS1,FAM177A1,FCER1G,FCGR3A,FGR,FYN,GADD45B,GFOD1,GSTP1,GZMA,GZMB,GZMK,GZMM,HCST,HOPX,ID2,IER2,IFITM1,IFITM2,IFNG,IL2RB,IRF8,KLRB1,KLRC1,KLRD1,LITAF,LY6E,MAFF,MAP3K8,MAPK1,MATK,MCTP2,MYO1F,NKG7,PARP8,PIK3R1,PRF1,S1PR5,SAMD3,SH2D1B,SLFN13,SYTL3,TLE1,TXK,TYROBP,XCL1,ZBTB16
J20.immune.t_cell.cd4_activated	ANXA1,CD2,CD3D,CD3E,CD40LG,CLEC2D,CREM,ETS1,GIMAP7,GPR183,IL7R,ITM2A,KLRB1,LEPROTL1,MYADM,PPP1CB,PTGER4,RGCC,RORA,TNFAIP3,TRAT1,TUBA1A
J20.immune.t_cell.cd8	AKNA,AOAH,CBLB,CCL4,CCL5,CD2,CD3D,CD3E,CD3G,CD7,CD8A,CD8B,CLDND1,CLEC2D,CMC1,CNOT6L,CRTAM,CST7,CTSW,DTHD1,DUSP2,FYN,GIMAP4,GZMA,GZMK,GZMM,HCST,ID2,KLRD1,LAG3,LCK,LEPROTL1,LITAF,LYAR,NKG7,PARP8,PIK3R1,PRF1,PRKCH,RUNX3,SAMD3,SH2D1A,SYTL3,TIGIT,XCL1
J20.immune.t_cell.gd	ABI3,AOAH,ARHGAP9,CAPG,CBLB,CCL5,CD160,CD247,CD3D,CD3E,CD3G,CD7,CD96,CD99,CST7,CTSD,CTSW,DUSP4,ENTPD1,EVL,FAM3C,FCER1G,FYN,GNPTAB,GPR171,GZMA,GZMB,HCST,HOPX,ID2,IL2RB,ITGA1,ITGAE,KLRD1,LAYN,LCK,LCP1,LSP1,MATK,MSH3,NAP1L4,NKG7,OXNAD1,PGK1,PIK3R1,PLPP1,PRF1,PRKCH,PTGER2,PTPN22,RHOC,SAMSN1,SLA2,SMC4,SPRY1,SYTL3,TIGIT,TXK,TYROBP,XCL1
