Signature_name	Gene_list
U.Pathway.chemoresistance	ABCC3,AQP5,CEACAM6,DUSP1,FGF19,KLK11,MUC13,OLFM4,TNFAIP2
U.Pathway.differentiation_altered	CD69,IL7R,ITGA4,SLAMF6,STAT4
U.Pathway.IFNA	CMPK2,EPSTI1,HERC5,IFI27,IFI44,IFI44L,IFIT1,MX1,OAS3,RSAD2
U.Pathway.IFNG	APOL6,CD274,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,UBD
U.Pathway.Mesodermal_development	PRDM6,PRRX1,RUNX2
U.Pathway.MHCII	CD74,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2
U.Pathway.Neuromuscular_contractility	ACTG2,MYH11,MYOCD
U.Pathway.PDAC.classical_neuroendocrine	MYT1,MYT1L
U.Pathway.TCR_signaling	FYN,ITK
U.Pathway.TGFB	APC,CDH1,CREBBP,EP300,MAP2K1,MAP3K7,MAPK3,SKIL,SMAD2,SMAD3,SMAD4,SMAD7,TAB1,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,ZFYVE9
U.Pathway.WNT	LRP5
U.Stroma	LUM,NDUFA4L2,RGS5,SFRP2
U.Stroma.activated	COL5A2,COL6A3,DCN,LAMA2,LAMB1,LUM,NEGR1,SLIT2
U.Stroma.CAF	CXCL12
U.Stroma.CAF.activated	CXCL12,FAP
U.Stroma.CAF.inflammatory	IL6
U.Stroma.CAF.mesodermal_progenitor	FAP
U.Stroma.CAF.myofibroblast	BCL2
U.Stroma.CAF.secretory	CD59,CD81,CST3,CXCL14,IFITM3,LGALS1,PPIA
U.Stroma.Endothelial	PECAM1,SOX18
U.Stroma.Endothelial.nascent	SOX18
U.Stroma.Fibroblast	COL1A1
U.Stroma.Pan	COL4A1,COL4A2,SPARCL1
U.Stroma.quiescent	CSPG4,DES,FABP4,ITGA1,ITGA7,MCAM,NOTCH3,PDGFRB
U.Stroma.Schwann	SOX10
U.Stroma.Smooth_muscle	ACTA2
U.Stroma.Stellate	MMP2
U.Vascular	CDH5,RAMP2
